d[um],vol[%],cumul[%]
0.01,0,0
0.011482,0,0
0.013183,0,0
0.015136,0,0
0.017378,0,0
0.019953,0,0
0.022909,0,0
0.026303,0,0
0.0302,0,0
0.034674,0,0
0.039811,0,0
0.045709,0,0
0.052481,0,0
0.060256,0,0
0.069183,0,0
0.079433,0,0
0.091201,0,0
0.104713,0,0
0.120226,0,0
0.138038,0,0
0.158489,0,0
0.18197,0,0
0.20893,0,0
0.239883,0,0
0.275423,0,0
0.316228,0,0
0.363078,0,0
0.416869,0,0
0.47863,0,0
0.549541,0,0
0.630957,0,0
0.724436,0,0
0.831764,0,0
0.954993,0,0
1.096478,0,0
1.258925,0,0
1.44544,0,0
1.659587,0,0
1.905461,0,0
2.187762,0,0
2.511886,0,0
2.884031,0,0
3.311311,0,0
3.801894,0,0
4.365158,0,0
5.011872,0,0
5.754399,0,0
6.606934,0,0
7.585776,0,0
8.709636,0,0
10,0.071274,0.071274
11.481536,0.080361,0.151635
13.182567,0.099191,0.250826
15.135612,0.122573,0.373399
17.378008,0.151995,0.525394
19.952623,0.187544,0.712938
22.908677,0.228988,0.941926
26.30268,0.276853,1.218779
30.199517,0.330579,1.549358
34.673685,0.390755,1.940113
39.810717,0.456806,2.396919
45.708819,0.528649,2.925568
52.480746,0.605795,3.531363
60.255959,0.687738,4.219101
69.183097,0.774652,4.993753
79.432823,0.865321,5.859074
91.201084,0.960463,6.819537
104.712855,1.059767,7.879304
120.226443,1.170045,9.049349
138.038426,1.299761,10.34911
158.489319,1.471225,11.820335
181.970086,1.706561,13.526896
208.929613,2.04807,15.574966
239.883292,2.522531,18.097497
275.42287,3.17578,21.273277
316.227766,4.004503,25.27778
363.078055,5.006735,30.284515
416.869383,6.10092,36.385435
478.630092,7.195463,43.580898
549.540874,8.129918,51.710816
630.957344,8.748936,60.459752
724.43596,8.898386,69.358138
831.763771,8.484962,77.8431
954.992586,7.509625,85.352725
1096.478196,6.094666,91.447391
1258.925412,4.45763,95.905021
1445.439771,2.838674,98.743695
1659.586907,1.191448,99.935143
1905.460718,0.064855,99.999998
2187.761624,0,99.999998
2511.886432,0,99.999998
2884.031503,0,99.999998
3311.311215,0,99.999998
3801.893963,0,99.999998
4365.158322,0,99.999998
5011.872336,0,99.999998
5754.399373,0,99.999998
6606.93448,0,99.999998
7585.77575,0,99.999998
8709.6359,0,99.999998
10000,0,99.999998